ID,Typ,Lokalizacja,Ulica,Miasto,Region,KodPocztowy,Kraj,Lat,Long,Odleglosc,Powierzchnia,Standard,Pokoje,Lazienki,Rok,Konstrukcja,Pietra,NrPietra,Winda,Parking,TypParking,Umeblowane,Ogrzewanie,Energia,Powodz,Stan,Opis,Dostepnosc,OstatniRemont,Utworzono,Zaktualizowano
n1,mieszkanie,miasto,"Ul. Kwiatowa 1",warszawa,mazowieckie,00-001,polska,52.2297,21.0122,2.5,28,wysoki,4,2,2018,cegla,4,3,tak,tak,garaz,tak,gazowe,a,niskie,5,"Opis n1",2024-06-01,2022-01-01,2022-06-01,2022-06-01
n2,mieszkanie,miasto,"Ul. Słoneczna 15",krakow,malopolskie,30-002,polska,50.0647,19.9450,3.2,72,sredni,3,1,2015,beton,5,2,tak,nie,brak,tak,miejskie,b,brak,4,"Przestronne mieszkanie blisko centrum",2024-06-15,2023-05-10,2023-05-10,2024-01-20
n3,dom,przedmiescia,"Ul. Dębowa 7",poznan,wielkopolskie,60-101,polska,52.4064,16.9252,10.0,140,wysoki,5,2,2020,cegla,2,1,nie,tak,podjazd,nie,gazowe,a,niskie,5,"Nowoczesny dom z ogrodem",2024-05-20,2022-12-01,2022-12-01,2023-07-15
n4,mieszkanie,miasto,"Ul. Polna 23",gdansk,pomorskie,80-001,polska,54.3520,18.6466,1.8,60,niski,2,1,2010,cegla,3,1,tak,tak,garaz,nie,elektryczne,c,brak,3,"Ciche mieszkanie w dzielnicy Wrzeszcz",2024-07-01,2023-01-01,2023-01-01,2024-04-10
n5,apartament,centrum,"Al. Niepodległości 245",lodz,lodzkie,90-001,polska,51.7592,19.4560,0.5,110,luksusowy,4,2,2022,zelbet,10,9,tak,tak,podziemny,tak,miejskie,a,brak,5,"Ekskluzywny apartament z widokiem na miasto",2024-06-10,2024-01-15,2024-01-15,2024-06-10
n6,mieszkanie,miasto,"Ul. Spacerowa 5",wroclaw,dolnoslaskie,50-001,polska,51.1079,17.0385,4.0,78,sredni,3,1,2016,beton,6,4,tak,nie,brak,tak,gazowe,b,niskie,4,"Funkcjonalne mieszkanie dla rodziny",2024-06-05,2023-08-20,2023-08-20,2024-03-01
n7,mieszkanie,miasto,"Ul. Przyjazna 8",warszawa,mazowieckie,00-002,polska,52.2300,21.0100,2.3,95,wysoki,4,3,2019,cegla,5,2,tak,tak,garaz,tak,miejskie,a,brak,5,"Duże, atrakcyjne mieszkanie blisko centrum",2024-07-01,2023-07-01,2023-12-01,2024-05-01
n8,mieszkanie,miasto,"Ul. Klonowa 12",poznan,wielkopolskie,60-001,polska,52.4064,16.9252,12.0,32,sredni,2,1,2012,cegla,4,0,nie,tak,brak,tak,gazowe,b,brak,4,"Przytulne mieszkanie na parterze, idealne dla seniora",2024-07-01,2022-10-01,2022-10-01,2023-11-20
n9,mieszkanie,przedmiescia,"Ul. Zaciszna 3",wroclaw,dolnoslaskie,50-102,polska,51.1079,17.0385,8.5,60,sredni,2,1,2018,beton,3,2,tak,tak,brak,tak,miejskie,a,brak,5,"Ciche mieszkanie z windą, dostępne dla osób starszych",2024-06-01,2023-03-10,2023-03-10,2024-03-01
n10,mieszkanie,miasto,"Ul. Rodzinna 7",krakow,malopolskie,30-305,polska,50.0647,19.9450,9.0,95,wysoki,4,2,2016,cegla,5,3,tak,tak,garaz,tak,gazowe,a,brak,5,"Przestronne mieszkanie idealne dla rodziny z dziećmi",2024-07-01,2023-04-15,2023-04-15,2024-04-01
n11,dom,przedmiescia,"Ul. Lipowa 28",lodz,lodzkie,90-321,polska,51.7592,19.4560,11.0,130,wysoki,5,2,2020,cegla,2,1,nie,tak,podjazd,tak,gazowe,a,brak,5,"Dom rodzinny z ogrodem i dużą przestrzenią",2024-06-20,2023-06-01,2023-06-01,2024-05-10
n12,mieszkanie,miasto,"Ul. Złota 5",warszawa,mazowieckie,00-019,polska,52.2297,21.0122,1.2,100,wysoki,4,3,2021,zelbet,7,5,tak,tak,podziemny,tak,miejskie,a,brak,5,"Atrakcyjne mieszkanie w centrum z 3 łazienkami",2024-07-01,2023-12-01,2023-12-01,2024-06-10
n13,mieszkanie,centrum,"Ul. Piękna 14",gdansk,pomorskie,80-101,polska,54.3520,18.6466,2.0,92,wysoki,4,3,2019,cegla,6,3,tak,tak,garaz,tak,miejskie,a,brak,5,"Nowoczesne, przestronne mieszkanie blisko morza",2024-07-01,2023-09-15,2023-09-15,2024-05-01
