ID,PropertyID,Status,Cena,KosztyDodatkowe,OpisKosztow,Kaucja,Negocjacja,MaxCena,MinCena,Wystawienie,Wygasniecie,MinStart,MaxStart,MinOkres,MaxOkres,Umowa,TypNajmu,Lokatorzy,OpisLokatorow,PreferowanyNajemca,Zwierzeta,PolitykaZwierzat,Opis,TypWlasciciela
w1,n101,aktywna,2238,651,media,1914,tak,2418,1794,2025-09-01,2025-12-01,2025-09-01,2025-12-01,6,18,zwykly,pokoj,2,studenci,student,nie,brak zwierząt,luksusowe,firma
w2,n102,aktywna,6090,499,media,2546,tak,6402,5617,2025-09-01,2025-11-01,2025-04-01,2025-12-01,3,27,najem okazjonalny,calkowity,4,brak,singiel,tak,możliwe zwierzęta,wysoki standard,firma
w3,n103,aktywna,3135,754,media,4408,tak,3411,3018,2025-02-01,2025-12-01,2025-01-01,2025-11-01,3,15,najem okazjonalny,calkowity,1,rodzina,senior,tak,możliwe zwierzęta,"parter, winda",firma
w4,n104,aktywna,6011,442,media,4329,nie,6150,5603,2025-09-01,2025-10-01,2025-03-01,2025-10-01,12,36,najem okazjonalny,calkowity,2,rodzina,student,nie,możliwe zwierzęta,luksusowe,osoba_prywatna
w5,n105,aktywna,2836,732,media,2117,tak,3209,2429,2025-01-01,2025-12-01,2025-01-01,2025-12-01,6,30,najem okazjonalny,pokoj,2,studenci,rodzina,nie,możliwe małe zwierzęta,wysoki standard,osoba_prywatna
w6,n106,aktywna,8729,356,media,1528,tak,8934,8542,2025-08-01,2025-12-01,2025-05-01,2025-11-01,12,24,zwykly,calkowity,1,brak,singiel,tak,brak zwierząt,luksusowe,osoba_prywatna
w7,n107,aktywna,1082,633,media,2990,nie,1557,781,2025-08-01,2025-12-01,2025-02-01,2025-11-01,6,12,zwykly,calkowity,2,rodzina,student,tak,możliwe zwierzęta,luksusowe,osoba_prywatna
w8,n108,aktywna,1113,219,media,1196,tak,1393,861,2025-02-01,2025-11-01,2025-02-01,2025-12-01,6,18,najem okazjonalny,pokoj,3,senior,rodzina,nie,możliwe zwierzęta,wysoki standard,firma
w9,n109,aktywna,1898,775,media,3562,nie,2270,1721,2025-07-01,2025-11-01,2025-01-01,2025-11-01,3,15,najem okazjonalny,pokoj,5,rodzina,senior,tak,możliwe zwierzęta,"parter, winda",firma
w10,n110,aktywna,3228,396,media,2492,nie,3488,3107,2025-08-01,2025-12-01,2025-04-01,2025-10-01,12,18,zwykly,calkowity,2,rodzina,singiel,nie,brak zwierząt,ekonomiczne,osoba_prywatna
w11,n111,aktywna,7806,312,media,1158,nie,8169,7314,2025-06-01,2025-11-01,2025-09-01,2025-12-01,12,36,zwykly,pokoj,2,senior,rodzina,tak,możliwe małe zwierzęta,blisko uczelni,osoba_prywatna
w12,n112,aktywna,4046,461,media,1341,tak,4544,3565,2025-09-01,2025-12-01,2025-02-01,2025-11-01,12,36,zwykly,calkowity,4,studenci,senior,tak,możliwe zwierzęta,"parter, winda",firma
w13,n113,aktywna,4057,744,media,2060,tak,4496,3845,2025-04-01,2025-11-01,2025-07-01,2025-12-01,12,24,zwykly,calkowity,4,brak,singiel,tak,możliwe małe zwierzęta,wysoki standard,firma
w14,n114,aktywna,4492,150,media,3176,tak,4868,4228,2025-07-01,2025-11-01,2025-08-01,2025-10-01,6,18,najem okazjonalny,pokoj,1,rodzina,student,tak,brak zwierząt,duże rodzinne mieszkanie,osoba_prywatna
w15,n115,aktywna,5489,259,media,3074,tak,5889,5221,2025-08-01,2025-11-01,2025-03-01,2025-12-01,12,36,zwykly,calkowity,1,studenci,senior,tak,brak zwierząt,wysoki standard,firma
w16,n116,aktywna,1293,403,media,1739,tak,1643,989,2025-01-01,2025-12-01,2025-04-01,2025-10-01,3,9,najem okazjonalny,pokoj,1,rodzina,singiel,tak,brak zwierząt,wysoki standard,osoba_prywatna
w17,n117,aktywna,8083,663,media,1821,nie,8384,7704,2025-06-01,2025-12-01,2025-02-01,2025-12-01,12,36,zwykly,calkowity,1,senior,rodzina,nie,możliwe małe zwierzęta,duże rodzinne mieszkanie,firma
w18,n118,aktywna,7048,637,media,4472,tak,7310,6794,2025-01-01,2025-12-01,2025-08-01,2025-12-01,12,36,najem okazjonalny,calkowity,4,brak,rodzina,tak,możliwe małe zwierzęta,"parter, winda",firma
w19,n119,aktywna,1333,506,media,3506,tak,1708,886,2025-09-01,2025-10-01,2025-09-01,2025-11-01,3,15,zwykly,calkowity,5,studenci,singiel,nie,możliwe małe zwierzęta,"parter, winda",firma
w20,n120,aktywna,4107,129,media,2846,nie,4215,3633,2025-01-01,2025-12-01,2025-07-01,2025-10-01,3,27,najem okazjonalny,pokoj,4,studenci,rodzina,nie,możliwe zwierzęta,wysoki standard,firma
w21,n121,aktywna,7726,457,media,2001,nie,7906,7279,2025-09-01,2025-10-01,2025-09-01,2025-11-01,3,9,zwykly,calkowity,1,rodzina,rodzina,nie,możliwe zwierzęta,duże rodzinne mieszkanie,firma
w22,n122,aktywna,6930,126,media,1471,nie,7038,6729,2025-09-01,2025-10-01,2025-02-01,2025-12-01,12,24,zwykly,pokoj,0,brak,student,tak,brak zwierząt,"parter, winda",firma
w23,n123,aktywna,3496,571,media,3770,nie,3927,3064,2025-02-01,2025-12-01,2025-04-01,2025-11-01,6,12,zwykly,calkowity,5,rodzina,senior,nie,brak zwierząt,wysoki standard,osoba_prywatna
w24,n124,aktywna,7297,675,media,4397,nie,7605,7066,2025-08-01,2025-12-01,2025-03-01,2025-11-01,12,18,najem okazjonalny,pokoj,0,senior,rodzina,tak,brak zwierząt,luksusowe,firma
w25,n125,aktywna,5617,796,media,4384,nie,6077,5451,2025-06-01,2025-11-01,2025-06-01,2025-11-01,3,9,najem okazjonalny,calkowity,3,brak,singiel,nie,brak zwierząt,luksusowe,osoba_prywatna
w26,n126,aktywna,8493,588,media,2884,nie,8629,8264,2025-08-01,2025-10-01,2025-02-01,2025-10-01,6,30,zwykly,calkowity,5,studenci,singiel,tak,możliwe małe zwierzęta,duże rodzinne mieszkanie,firma
w27,n127,aktywna,2797,369,media,2402,tak,3028,2414,2025-02-01,2025-10-01,2025-07-01,2025-10-01,12,36,najem okazjonalny,pokoj,5,rodzina,rodzina,tak,możliwe małe zwierzęta,blisko uczelni,firma
w28,n128,aktywna,2183,726,media,2446,nie,2571,1827,2025-01-01,2025-11-01,2025-03-01,2025-12-01,3,27,najem okazjonalny,calkowity,3,studenci,senior,nie,możliwe zwierzęta,"parter, winda",osoba_prywatna
w29,n129,aktywna,3096,333,media,1072,nie,3201,2699,2025-03-01,2025-12-01,2025-04-01,2025-12-01,6,18,najem okazjonalny,calkowity,3,senior,rodzina,tak,możliwe zwierzęta,duże rodzinne mieszkanie,firma
w30,n130,aktywna,4095,492,media,2207,tak,4433,3675,2025-01-01,2025-10-01,2025-02-01,2025-12-01,12,36,zwykly,pokoj,3,rodzina,senior,tak,możliwe zwierzęta,blisko uczelni,osoba_prywatna
w31,n131,aktywna,2033,344,media,1680,nie,2244,1832,2025-04-01,2025-11-01,2025-07-01,2025-10-01,6,12,najem okazjonalny,calkowity,0,brak,rodzina,tak,brak zwierząt,blisko uczelni,firma
w32,n132,aktywna,2431,419,media,2057,tak,2900,2001,2025-02-01,2025-11-01,2025-05-01,2025-12-01,12,36,zwykly,calkowity,0,studenci,singiel,tak,możliwe małe zwierzęta,wysoki standard,firma
w33,n133,aktywna,2418,606,media,2584,nie,2905,2261,2025-08-01,2025-12-01,2025-05-01,2025-12-01,12,18,najem okazjonalny,pokoj,3,studenci,senior,nie,możliwe zwierzęta,"parter, winda",osoba_prywatna
w34,n134,aktywna,2563,586,media,2528,nie,2918,2203,2025-04-01,2025-12-01,2025-08-01,2025-11-01,3,27,najem okazjonalny,pokoj,4,brak,singiel,nie,brak zwierząt,duże rodzinne mieszkanie,firma
w35,n135,aktywna,4997,750,media,1985,tak,5276,4844,2025-05-01,2025-11-01,2025-02-01,2025-12-01,12,24,zwykly,calkowity,3,studenci,rodzina,tak,brak zwierząt,"parter, winda",firma
w36,n136,aktywna,4267,200,media,1745,nie,4630,3967,2025-08-01,2025-12-01,2025-09-01,2025-12-01,12,24,najem okazjonalny,calkowity,2,senior,senior,nie,możliwe zwierzęta,ekonomiczne,firma
w37,n137,aktywna,6286,180,media,4967,tak,6754,6135,2025-06-01,2025-10-01,2025-01-01,2025-10-01,12,24,zwykly,calkowity,2,rodzina,senior,nie,możliwe małe zwierzęta,"parter, winda",osoba_prywatna
w38,n138,aktywna,4803,501,media,1088,tak,5162,4578,2025-06-01,2025-10-01,2025-05-01,2025-11-01,3,9,zwykly,calkowity,3,studenci,singiel,nie,możliwe małe zwierzęta,blisko uczelni,osoba_prywatna
w39,n139,aktywna,3053,223,media,4990,tak,3459,2595,2025-09-01,2025-12-01,2025-04-01,2025-12-01,12,36,zwykly,pokoj,2,rodzina,senior,tak,brak zwierząt,ekonomiczne,firma
w40,n140,aktywna,8634,243,media,3556,tak,8790,8469,2025-03-01,2025-10-01,2025-02-01,2025-11-01,3,27,zwykly,pokoj,0,brak,student,tak,możliwe małe zwierzęta,"parter, winda",osoba_prywatna
w41,n141,aktywna,8855,635,media,1862,tak,9157,8722,2025-03-01,2025-12-01,2025-03-01,2025-12-01,12,18,zwykly,pokoj,5,brak,singiel,tak,możliwe zwierzęta,ekonomiczne,osoba_prywatna
w42,n142,aktywna,2033,776,media,1021,tak,2321,1782,2025-03-01,2025-12-01,2025-04-01,2025-11-01,6,30,zwykly,pokoj,4,studenci,student,nie,możliwe małe zwierzęta,ekonomiczne,firma
w43,n143,aktywna,4223,509,media,1960,nie,4576,4088,2025-03-01,2025-11-01,2025-08-01,2025-10-01,12,24,zwykly,pokoj,5,senior,senior,nie,możliwe małe zwierzęta,duże rodzinne mieszkanie,osoba_prywatna
w44,n144,aktywna,8562,264,media,4503,tak,9059,8430,2025-03-01,2025-11-01,2025-09-01,2025-12-01,3,15,zwykly,calkowity,4,brak,singiel,tak,brak zwierząt,duże rodzinne mieszkanie,firma
w45,n145,aktywna,8767,262,media,3389,nie,9148,8642,2025-07-01,2025-12-01,2025-04-01,2025-10-01,6,30,najem okazjonalny,pokoj,5,brak,student,tak,brak zwierząt,luksusowe,osoba_prywatna
w46,n146,aktywna,8299,199,media,3187,nie,8659,8185,2025-06-01,2025-12-01,2025-05-01,2025-11-01,6,18,najem okazjonalny,pokoj,2,studenci,student,nie,brak zwierząt,blisko uczelni,firma
w47,n147,aktywna,6684,217,media,1683,nie,6872,6367,2025-08-01,2025-12-01,2025-05-01,2025-10-01,12,24,najem okazjonalny,calkowity,5,studenci,rodzina,tak,możliwe małe zwierzęta,blisko uczelni,osoba_prywatna
w48,n148,aktywna,7710,264,media,3990,nie,8007,7543,2025-03-01,2025-12-01,2025-05-01,2025-12-01,12,18,najem okazjonalny,calkowity,2,senior,senior,nie,brak zwierząt,"parter, winda",osoba_prywatna
w49,n149,aktywna,1139,282,media,2778,nie,1380,749,2025-09-01,2025-10-01,2025-05-01,2025-11-01,12,18,zwykly,pokoj,2,brak,rodzina,nie,możliwe zwierzęta,"parter, winda",firma
w50,n150,aktywna,7396,795,media,4656,tak,7537,7149,2025-01-01,2025-10-01,2025-05-01,2025-11-01,3,27,najem okazjonalny,calkowity,1,rodzina,senior,nie,możliwe zwierzęta,blisko uczelni,firma
w51,n151,aktywna,6121,437,media,3597,nie,6271,5672,2025-02-01,2025-10-01,2025-02-01,2025-10-01,6,12,najem okazjonalny,calkowity,2,rodzina,singiel,nie,możliwe zwierzęta,blisko uczelni,firma
w52,n152,aktywna,3344,476,media,4087,tak,3834,2887,2025-02-01,2025-10-01,2025-07-01,2025-11-01,12,36,najem okazjonalny,pokoj,5,rodzina,rodzina,nie,możliwe zwierzęta,ekonomiczne,firma
w53,n153,aktywna,2911,199,media,2045,tak,3388,2730,2025-07-01,2025-11-01,2025-07-01,2025-12-01,12,18,najem okazjonalny,pokoj,0,senior,senior,nie,możliwe zwierzęta,"parter, winda",osoba_prywatna
w54,n154,aktywna,7881,147,media,3267,tak,8093,7606,2025-08-01,2025-10-01,2025-03-01,2025-12-01,3,9,zwykly,calkowity,5,studenci,senior,tak,brak zwierząt,blisko uczelni,osoba_prywatna
w55,n155,aktywna,6896,743,media,2887,tak,7082,6753,2025-07-01,2025-12-01,2025-06-01,2025-12-01,3,27,najem okazjonalny,pokoj,3,brak,rodzina,nie,brak zwierząt,wysoki standard,firma
w56,n156,aktywna,2346,638,media,4657,nie,2652,1938,2025-02-01,2025-10-01,2025-03-01,2025-11-01,6,30,zwykly,pokoj,4,brak,student,nie,brak zwierząt,ekonomiczne,osoba_prywatna
w57,n157,aktywna,3852,129,media,1785,nie,4213,3524,2025-07-01,2025-11-01,2025-06-01,2025-10-01,6,18,najem okazjonalny,calkowity,3,senior,singiel,nie,brak zwierząt,ekonomiczne,osoba_prywatna
w58,n158,aktywna,5440,217,media,3079,tak,5677,4952,2025-06-01,2025-11-01,2025-03-01,2025-12-01,3,9,najem okazjonalny,pokoj,1,studenci,rodzina,nie,możliwe małe zwierzęta,blisko uczelni,firma
w59,n159,aktywna,3061,342,media,3022,tak,3462,2647,2025-01-01,2025-11-01,2025-02-01,2025-12-01,3,15,najem okazjonalny,calkowity,1,senior,senior,nie,możliwe zwierzęta,duże rodzinne mieszkanie,firma
